user_id,amount,timestamp,latitude,longitude,merchant_category,transaction_type,device_id,is_fraud
94,13.081981480910896,2026-04-13 23:51:59.537735,33.54052008373342,-7.4313925735425785,travel,CASH_OUT,31,0
34,93.42648230390907,2026-04-14 23:04:59.537735,33.430205698916645,-7.672664569830111,jewelry,PAYMENT,28,0
86,210.86328815518013,2026-04-16 20:21:59.538733,33.83678353818398,-7.498590317658685,supermarket,PAYMENT,18,0
69,70.27968434912394,2026-04-15 17:42:59.538733,33.6172355146375,-7.60879153374434,jewelry,TRANSFER,45,1
59,165.12448902003916,2026-04-19 10:10:59.538733,33.40740008592465,-7.904426941015933,electronics,PAYMENT,25,0
76,14.598580708509386,2026-04-20 05:51:59.538733,33.26064010779262,-7.516937712961983,supermarket,TRANSFER,41,0
88,466.0481596448196,2026-04-15 23:28:59.538733,33.52967414779682,-7.673121175720178,supermarket,PAYMENT,35,0
31,52.80713345305762,2026-04-19 03:42:59.538733,33.422793747312696,-7.695703191754014,travel,CASH_OUT,50,0
24,22.083184723584353,2026-04-14 20:39:59.538733,33.32004410383986,-7.751914827248881,travel,TRANSFER,2,0
51,32.39339795619499,2026-04-16 04:15:59.538733,33.66218512065125,-7.685292864709126,travel,PAYMENT,6,0
91,20.864130972534706,2026-04-15 17:12:59.538733,33.31781686597791,-7.708818735937681,supermarket,PAYMENT,22,0
61,300.57359024158046,2026-04-17 05:25:59.538733,33.60905606462832,-7.497036086587891,electronics,PAYMENT,22,0
96,64.44247871898062,2026-04-17 07:15:59.538733,33.508078419679315,-7.580952541000703,jewelry,TRANSFER,46,0
38,184.40655699924596,2026-04-18 17:53:59.538733,33.650965586964574,-7.650382351659422,jewelry,PAYMENT,5,0
66,296.00274933140645,2026-04-20 04:11:59.538733,33.42224720449205,-7.6120103449699545,jewelry,CASH_OUT,8,1
47,42.946998855940194,2026-04-19 21:27:59.538733,33.62538354765283,-7.582170381944977,jewelry,CASH_OUT,44,0
51,20.641158061898967,2026-04-15 23:32:59.538733,33.448110681181774,-7.55950496011876,electronics,CASH_OUT,10,0
56,49.08294245230286,2026-04-17 18:35:59.538733,33.55915447851906,-7.718326769121452,jewelry,PAYMENT,43,0
2,169.25301982879725,2026-04-16 06:55:59.538733,33.668246847923555,-7.566202887299745,travel,PAYMENT,4,0
84,136.9570714928742,2026-04-20 18:59:59.538733,33.815986512954844,-7.567082826502789,jewelry,TRANSFER,4,0
50,47.70994724268805,2026-04-15 00:46:59.538733,33.53780363911256,-7.6417779469946865,travel,PAYMENT,22,0
52,66.05857452783133,2026-04-17 14:42:59.538733,33.551291412286716,-7.469317360926708,jewelry,PAYMENT,7,0
8,102.14599215155393,2026-04-19 16:54:59.538733,33.57839111637209,-7.5601838265506105,supermarket,CASH_OUT,21,0
19,1.7870372051025836,2026-04-15 21:03:59.538733,33.64175293367681,-7.38789213401981,electronics,CASH_OUT,33,0
4,80.88200600770087,2026-04-19 13:31:59.538733,33.46073482278521,-7.602165558039379,electronics,TRANSFER,40,0
65,48.620277237031814,2026-04-15 20:25:59.538733,33.523016965526516,-7.598297251615525,travel,PAYMENT,31,0
60,50.554838636879026,2026-04-18 18:42:59.538733,33.50563331016489,-7.61282838270759,travel,CASH_OUT,24,0
75,122.00247726309321,2026-04-16 21:13:59.538733,33.433613621650686,-7.584279738331221,jewelry,TRANSFER,50,0
65,224.64193417916852,2026-04-17 12:01:59.538733,33.41972626727599,-7.625838872694304,electronics,PAYMENT,9,0
79,154.3103598624821,2026-04-20 05:11:59.538733,33.36238728782084,-7.4815227481494535,jewelry,PAYMENT,7,0
21,65.61387261595894,2026-04-15 21:11:59.538733,33.56990755350098,-7.661104013756351,travel,CASH_OUT,34,0
